id;module;scherm;ernst;beschrijving;vermoedelijke_oorzaak;aanbevolen_oplossing;bestaande_code_hergebruiken;regressietest_nodig
"SPARKI-COA-005";"COACH";"COACH-COCKPIT";"P3";"Sparki-wijzigingsvoorstellen op coachtrainingen kunnen door de coach geaccepteerd of afgewezen worden, maar de 'aanpassen' optie in de UI (artifacts/sparki/src/pages/coach-cockpit.tsx:137) heeft geen specifieke handler die afwijkt van de standaard signal action, wat verwarrend kan zijn voor de coach.";"UI suggereert handmatige correctie-flow die in de backend (coach-cockpit.ts:268) als een binaire actie wordt verwerkt.";"Voeg een formulier toe voor 'aanpassen' dat de velden van de training direct opent met de voorgestelde waarden ingevuld.";"ja";"nee"
"SPARKI-COA-006";"COACH";"COACH-COCKPIT";"P3";"De planning-sectie toont Sparki-trainingen als read-only (artifacts/sparki/src/pages/coach-cockpit.tsx:300), maar de coach kan deze niet 'overnemen' of 'adopteren' naar een coachtraining om deze zelf te beheren, wat een veelvoorkomende workflow is.";"Ontbrekende 'adopt'-actie in de UI en backend.";"Voeg een 'Adopteer' knop toe die de Sparki-training kopieert naar een nieuwe training met source='coach'.";"ja";"ja"
"SPARKI-COA-007";"COACH";"coach-cockpit.tsx:126";"P3";"Besluitknoppen op signalen (Overnemen/Aanpassen/Afwijzen/Parkeren) missen een visuele ""active"" state voor het huidige besluit; alleen de label-chip bovenaan verraadt de status.";"Geen feedbackloop in de UI voor reeds genomen besluiten.";"Voeg een 'selected' styling toe aan de knoppen of verberg actie-knoppen volledig als een definitief besluit (niet geparkeerd) is genomen.";"ja";"nee"
"SPARKI-COA-008";"COACH";"coach-cockpit.ts:412";"P3";"Handmatige invoer van targetDurationMin > 1440 (24u) geeft 400 error; hoewel logisch voor 1 sessie, is de foutmelding generiek.";"Harde limiet zonder specifieke toelichting.";"Verbeter de error-string naar ""Duur mag maximaal 24 uur zijn"".";"ja";"nee"
"SPARKI-COA-009";"COACH";"coach-cockpit.tsx:521";"P3";"Berichtenlijst in de cockpit gebruikt hardcoded 'mine' check op athleteId; dit breekt als een sporter meerdere coaches heeft en zij elkaars berichten zouden zien (indien toegestaan).";"Aanname van 1:1 relatie in styling-logica.";"Gebruik senderClerkId === currentCoachId voor de 'mine' status.";"ja";"nee"
"SPARKI-COA-010";"COACH";"coach-cockpit.tsx:123";"P3";"Bronnen van een signaal worden getoond als rauwe strings; als een bronnaam wijzigt in de backend of spaties bevat, oogt het slordig.";"Directe join van array-strings.";"Map bron-sleutels naar leesbare labels.";"ja";"nee"
"SPARKI-COA-011";"COACH";"coach-cockpit.ts:639";"P3";"Bij herhalen van trainingen (repeat) wordt de raceId in structure simpelweg gekopieerd; als de race inmiddels voorbij is op de nieuwe datum, is de data inconsistent.";"Deep copy zonder validatie van gekoppelde entiteiten.";"Check of de raceId nog valide/toekomstig is voor de nieuwe datums.";"ja";"ja"
"SPARKI-INS-004";"INSTELLINGEN";"Koppelingen";"P3";"De `handleRevoke` functie (links-section.tsx:206) toont een melding als een koppeling al verwijderd was, maar gebruikt daarvoor een generieke `setNotice`. De gebruiker krijgt geen visuele feedback welke rij precies mislukte als er meerdere in afwachting waren.";"Gedeelde error state voor de hele sectie.";"Gebruik een per-item loading/error state.";"ja";"nee"
"SPARKI-INS-005";"INSTELLINGEN";"Links";"P3";"Silent catch / Gebrekkige foutafhandeling: Bij mislukken van revoke-link wordt een amber-alert getoond ipv een harde error of retry. (artifacts/sparki/src/components/sparki/links-section.tsx:214)";"onError in mutation (line 213) zet alleen een lokale string-state 'notice'.";"";"nee";"ja"
"SPARKI-INS-006";"INSTELLINGEN";"Privacy";"P3";"Toegankelijkheid: Form-elementen (select) in PrivacyGrid hebben kleine touch-targets (py-1.5) en missen duidelijke labels voor screenreaders. (artifacts/sparki/src/components/sparki/profile-privacy-grid.tsx:71)";"Select-element (line 71) heeft beperkte padding en inline label.";"";"nee";"nee"
"SPARKI-INS-007";"INSTELLINGEN";"Links";"P3";"Toegankelijkheid: 'Koppeling verwijderen' knop (X) heeft kleine hitbox (h-8 w-8) en lage kleurcontrast (white/35). (artifacts/sparki/src/components/sparki/links-section.tsx:174)";"Button-afmetingen en kleur (line 179) bemoeilijken bediening op mobiel.";"";"nee";"nee"
"SPARKI-PLA-006";"PLAN";"PlanWizard";"P3";"Onlogische flow: agenda-items moeten persist zijn voordat plan wordt gebouwd, maar formulier suggereert dat 'Periode toevoegen' optioneel is in de wizard (plan-wizard.tsx:175)";"Agenda-schrijfacties zijn asynchroon; als gebruiker direct op 'Bouw mijn plan' klikt na invoer zonder op 'Toevoegen' te klikken, mist het plan deze data.";"Forceer opslaan van openstaande agenda-input bij het starten van 'bouwPlan' of waarschuw de gebruiker.";"ja";"nee"
"SPARKI-PRO-004";"PROFIEL";"You";"P3";"Op de `/you` pagina wordt in `useEffect` (you.tsx:344) een interval van 250ms gebruikt om te scrollen naar een sectie tot de layout stabiel is. Dit kan leiden tot ""jank"" en onnodige CPU belasting op mobiele apparaten.";"Handmatige stabiliteitscheck met `window.setInterval`.";"Gebruik `ResizeObserver` of een meer React-vriendelijke manier om layout-stabiliteit te detecteren.";"ja";"nee"
"SPARKI-PRO-005";"PROFIEL";"Instellingen";"P3";"De `CheckInForm` (profile-settings.tsx:668) valideert de HRV-input (`min={20}, max={250}`) alleen in de HTML-attributen, niet in de `handleSave` functie. Handmatige invoer via de console of oude browsers kan ongeldige data versturen.";"Ontbrekende check in de submit handler.";"Voeg een check toe in `handleSave` voordat de mutatie wordt aangeroepen.";"ja";"ja"
"SPARKI-PRO-006";"PROFIEL";"Instellingen";"P3";"Bij het wijzigen van het humorniveau (profile-settings.tsx:413) wordt `update.mutate` direct aangeroepen bij elke klik op een knop. Er is geen 'Save' knop, wat kan leiden tot veel onnodige API calls als een gebruiker twijfelt.";"Directe mutatie op onClick.";"Gebruik een lokale state en een expliciete opslaan-knop voor de humor-instelling.";"ja";"nee"
"SPARKI-PRO-007";"PROFIEL";"You";"P3";"De `useAthleteExtendedProfile` hook (use-athlete-extended-profile.ts:14) is enabled als `isSignedIn === true";"";"DEV_PREVIEW`. In productie kan dit leiden tot pogingen om profielen op te halen voordat de Clerk sessie volledig is geïnitialiseerd, wat 401 fouten in de console veroorzaakt. — Zwakke guard op de query-activatie. — Gebruik `isSignedIn && !!user` van Clerk voor een strakkere guard.";"ja";"nee"
"SPARKI-PRO-008";"PROFIEL";"Sportpaspoort";"P3";"Data-trust: 'Berekend' en 'Geschat' waarden in paspoort hebben identieke visuele weging als 'Gemeten' (alleen kleurverschil in chip). (artifacts/sparki/src/components/sparki/sport-passport.tsx:30)";"OriginChips (line 37) gebruiken hetzelfde visuele formaat voor geverifieerde vs afgeleide data.";"";"nee";"nee"
"SPARKI-RIJ-007";"RIJDEN";"Ritregistratie";"P3";"Voedingstik-tellers worden na opslaan direct gereset; bij mislukte POST naar /api/nutrition zijn tikken weg";"Silent catch in record.tsx:301 verliest data bij netwerkfout na rit-save";"Houd voedingstikken vast in state tot POST-bevestiging";"ja";"ja"
"SPARKI-RIJ-008";"RIJDEN";"Navigatie";"P3";"MeldNavigatieStart faalt stil bij netwerkfout, backend mist gebruiksdata";"try-catch in routes-api.ts:49 slikt fout in";"Voeg retry-logica of offline-wachtrij toe";"ja";"nee"
