id,module,screen_or_endpoint,data_type,classification,source_file_or_table,user_binding,missing_data_behavior,error_behavior,risk,proposed_action,apply_allowed
A01,Lab/TSS,lib/derived-load.ts (deriveTss),belastingscore,VERIFIED_REAL_USER_DATA,training_sessions + ftp_history,clerkId,null — nooit verzonnen TSS,n.v.t.,geen,geen actie,false
A02,Planning,engines/core-prediction/tss.ts,TSS-schatting geplande workout,FALLBACK,echte workoutstructuur,clerkId,"gemarkeerd ""estimated""",n.v.t.,laag,behouden — herleidbaar en gelabeld,false
A03,FTP,lib/derived-load.ts (ftpAtDate),FTP-fallback naar profielwaarde,FALLBACK,athlete_profiles.ftp + ftp_estimated,clerkId,profielwaarde mét schattingsvlag; echte meting wint (getest),n.v.t.,laag,behouden,false
A04,Routes,lib/routing/providers/ors.ts,routefoutafhandeling,VERIFIED_SYSTEM_REFERENCE_DATA,ORS-provider,n.v.t.,eerlijke NL-fout; nooit rechte-lijn-route,dutchOrsError,geen,geen actie,false
A05,Chat/advies,routes/ai.ts,modeladvies,VERIFIED_REAL_USER_DATA,buildAthleteContext (alleen echte records),clerkId,"ontbrekend gaat als ""missing"" mee; prompt verbiedt verzinnen + eist bron",500 eerlijke fout,matig (inherent taalmodel),bestaande guards behouden; geen wijziging deze golf,false
A06,Auth/dev,lib/auth.ts (DEV_AUTH_BYPASS),dev-preview-identiteit,VERIFIED_SYSTEM_REFERENCE_DATA,env-gated (NODE_ENV≠production én flag),fail-closed in productie,n.v.t.,n.v.t.,laag,geen actie,false
D01,Accounts (dev-DB),user_profiles,"dev-QA-profiel ""Lars de Vries"" (dev_qa_a…, @sparki.dev)",SEED,user_profiles (1 rij; bewust behouden per 0A.1-audit),dev-clerkId; geen echt Clerk-account,n.v.t.,n.v.t.,laag (alleen dev-DB; nodig voor Development Preview Mode),behouden; nooit naar productie; optioneel hernoemen naar neutrale naam,false
D02,Accounts (dev-DB),athlete_profiles,gewicht 68.50 kg bij dev-QA-profiel,SEED,athlete_profiles,dev_qa_a…,n.v.t.,n.v.t.,laag,zelfde als D01,false
D03,Telemetrie (dev-DB),tester_events,1988 events dev-QA,SEED,tester_events,dev_qa_a…,n.v.t.,n.v.t.,laag,behouden (dev-tooling),false
D04,Flags (dev-DB),user_flag_overrides,rit_verhaal-override dev-QA,SEED,user_flag_overrides,dev_qa_a…,n.v.t.,n.v.t.,laag,behouden (dev-tooling),false
D05,Uitnodigingen (dev-DB),invitations,3 head-tester-invites van dev-QA (1 accepted; 2 expired),SEED,invitations,inviter dev_qa_ath…,n.v.t.,n.v.t.,laag,behouden (dev-tooling),false
D06,Accounts (dev-DB),user_profiles + athlete_profiles,profiel Rene Vink (gmail; leeg sportprofiel),VERIFIED_REAL_USER_DATA,user_profiles/athlete_profiles,clerk user_3FT…,eerlijk leeg (geen FTP/gewicht),n.v.t.,geen,NOOIT verwijderen,false
D07,Sparki World (dev+prod),virtual_*-tabellen,215 virtuele atleten + 610 media + 116 posts + 117 events,DEMO,virtual_athletes/virtual_posts/virtual_media/virtual_events,aparte tabellen; feed levert fictional:true,n.v.t.,n.v.t.,laag,NOOIT automatisch verwijderen — bewust productonderdeel,false
D08,Kennis/intel,intel_cards,32 intel-kaarten met bronlabel,VERIFIED_SYSTEM_REFERENCE_DATA,intel_cards (source_label/source_url),n.v.t.,n.v.t.,n.v.t.,geen,behouden,false
D09,Kennisbank,knowledge_items,144 literatuur-items,VERIFIED_SYSTEM_REFERENCE_DATA,knowledge_items (provider/source),n.v.t.,n.v.t.,n.v.t.,geen,behouden,false
D10,Systeem,feature_flags,12 flags,VERIFIED_SYSTEM_REFERENCE_DATA,feature_flags,n.v.t.,n.v.t.,n.v.t.,geen,behouden,false
D11,Telemetrie (dev-DB),tester_events,6 events Rene,VERIFIED_REAL_USER_DATA,tester_events,user_3FT…,n.v.t.,n.v.t.,geen,behouden,false
D12,Alle overige persoonlijke modules (dev-DB),training_sessions/ftp_history/routes/races/planned_workouts/athlete_goals/garage_bikes/athlete_daily_metrics/ai_observations/computation_traces/sync_runs/connector_connections/notifications,0 rijen — eerlijk leeg,VERIFIED_REAL_USER_DATA,alle genoemde tabellen (clerkId-kolommen aanwezig),clerkId,eerlijk leeg,n.v.t.,geen,geen actie,false
P01,Lab/FTP (prod),ftp_history via Sportpaspoort/profiel,afgeleide FTP-rij 410 W (2026-05-25) ZONDER [achterhaald]-markering naast nieuwere echte metingen,STALE_OR_INVALID_PERSONAL_METRIC,ftp_history (test_type='derived'),clerkId (één echte gebruiker),n.v.t.,n.v.t.,middel — vervuilt FTP-historie en mogelijk TSS/IF-afleiding rond mei 2026; actueel profiel-FTP (345) is correct,menselijke bevestiging → markeren [achterhaald] via bestaand zelfherstel/cleanup-mechanisme; historie NOOIT deleten,false
P02,Lab/FTP (prod),ftp_history,4 dubbele Strava-importrijen (272 W; 2026-06-26),STALE_OR_INVALID_PERSONAL_METRIC,ftp_history (test_type='strava'),clerkId,n.v.t.,n.v.t.,laag — echte eigen metingen; alleen dubbel,menselijke bevestiging → bestaande cleanup-droogdraai → apply (oudste rij blijft; alleen importbron-rijen),false
P03,Chat/advies (prod),ai_observations,mogelijk Engelstalige observaties van vóór de taalcorrectie (161 totaal; aantal niet read-only vaststelbaar),UNKNOWN_REQUIRES_REVIEW,ai_observations,clerkId,n.v.t.,n.v.t.,laag,vaststellen via bestaande cleanup-droogdraai; pas daarna beslissen,false
P04,Accounts (prod),user_profiles + athlete_profiles,2 echte gebruikers; FTP 345/258 beide niet-geschat; 0 seed-/testaccounts,VERIFIED_REAL_USER_DATA,user_profiles/athlete_profiles,clerk user_3Fg…/user_3FX…,n.v.t.,n.v.t.,geen,NOOIT verwijderen,false
P05,Ritten/routes/materiaal (prod),training_sessions/routes/races/garage_bikes,391 sessies; 9 routes; 1 race; 1 fiets — alle clerk-gebonden,VERIFIED_REAL_USER_DATA,training_sessions e.a.,clerkId,n.v.t.,n.v.t.,geen,NOOIT verwijderen,false
X01,Canvas-ontwerp (geen productoppervlak),mockup-sandbox (Prototype.tsx; vandaag-sfeer Current/Komoot/Strava),hardcoded voorbeeldactiviteiten en -waarden in ontwerp-previews,MOCK,artifacts/mockup-sandbox/src/components/**,geen — apart artifact; wordt niet als product geleverd,n.v.t.,n.v.t.,geen,gedocumenteerd laten; nooit naar productoppervlak kopiëren,false
