task_id,task_name,status,commit_sha,merged,tests_status,evidence_file,build_pack_mapping,duplicate_of,recommended_action,notes
"#78","Make the Sparki tab open directly to the conversation","CONCEPT_NIET_GESTART","","nee","","","","","beoordelen/ontdubbelen met Build Pack",""
"#79","Automatically test the Materiaalcoach upload and privacy flow","CONCEPT_NIET_GESTART","","nee","","","","","beoordelen/ontdubbelen met Build Pack",""
"#82","Add an automatic check so the 'fill your data' card never disappears by accident","CONCEPT_NIET_GESTART","","nee","","","","","beoordelen/ontdubbelen met Build Pack",""
"#90","Show the predicted-vs-actual Core comparison after riders finish a session","CONCEPT_NIET_GESTART","","nee","","","","","beoordelen/ontdubbelen met Build Pack",""
"#111","Turn uploaded FIT/GPX files into real training sessions","CONCEPT_NIET_GESTART","","nee","","","","","beoordelen/ontdubbelen met Build Pack",""
"#112","Parse TCX and CSV activity files for real metrics","CONCEPT_NIET_GESTART","","nee","","","","","beoordelen/ontdubbelen met Build Pack",""
"#113","Turn on automatic reminders by scheduling the daily send","CONCEPT_NIET_GESTART","","nee","","","","","beoordelen/ontdubbelen met Build Pack",""
"#114","Verify a sending domain so reminders actually reach athletes by email","CONCEPT_NIET_GESTART","","nee","","","","","beoordelen/ontdubbelen met Build Pack",""
"#115","Let athletes set and change their home location after onboarding","CONCEPT_NIET_GESTART","","nee","","","","","beoordelen/ontdubbelen met Build Pack",""
"#116","Auto-scroll to the home-location input when arriving from the weather card","CONCEPT_NIET_GESTART","","nee","","","","","beoordelen/ontdubbelen met Build Pack",""
"#117","Automatically test that severe weather changes coach advice","CONCEPT_NIET_GESTART","","nee","","","","","beoordelen/ontdubbelen met Build Pack",""
"#125","Make sure no bad value can corrupt the rest of the athlete profile","CONCEPT_NIET_GESTART","","nee","","","","","beoordelen/ontdubbelen met Build Pack",""
"#128","Show athletes the single biggest thing holding their progress back","CONCEPT_NIET_GESTART","","nee","","","","","beoordelen/ontdubbelen met Build Pack",""
"#129","Make sure the growth-range estimate can never overpromise","CONCEPT_NIET_GESTART","","nee","","","","","beoordelen/ontdubbelen met Build Pack",""
"#135","Make sure the athlete's derived profile read can't silently break","CONCEPT_NIET_GESTART","","nee","","","","","beoordelen/ontdubbelen met Build Pack",""
"#136","Make sure the load-tolerance read can't silently fabricate a number","CONCEPT_NIET_GESTART","","nee","","","","","beoordelen/ontdubbelen met Build Pack",""
"#152","Stop the bell badge from showing more days than the bell can open","CONCEPT_NIET_GESTART","","nee","","","","","beoordelen/ontdubbelen met Build Pack",""
"#154","Make development and production databases match the app's data model","CONCEPT_NIET_GESTART","","nee","","","","","beoordelen/ontdubbelen met Build Pack",""
"#155","Confirm Sparki World athlete links keep working after future changes","CONCEPT_NIET_GESTART","","nee","","","","","beoordelen/ontdubbelen met Build Pack",""
"#156","Confirm the World feed also learns from likes and comments","CONCEPT_NIET_GESTART","","nee","","","","","beoordelen/ontdubbelen met Build Pack",""
"#157","Run all Sparki World checks together so feed regressions can't slip through","CONCEPT_NIET_GESTART","","nee","","","","","beoordelen/ontdubbelen met Build Pack",""
"#158","Bring hero athletes to life with real looping highlight clips","CONCEPT_NIET_GESTART","","nee","","","","","beoordelen/ontdubbelen met Build Pack",""
"#159","Make sure athlete profiles never show a broken video player","CONCEPT_NIET_GESTART","","nee","","","","","beoordelen/ontdubbelen met Build Pack",""
"#165","Toon de doelregel ook op de andere trainingsdag-schermen (rust, herstel, raceweek)","CONCEPT_NIET_GESTART","","nee","","","","","beoordelen/ontdubbelen met Build Pack",""
"#174","Make sure a connected platform's data is never re-asked during signup","CONCEPT_NIET_GESTART","","nee","","","","","beoordelen/ontdubbelen met Build Pack",""
"#178","Make sure the 'connected but no data' recovery nudge can't silently break","CONCEPT_NIET_GESTART","","nee","","","","","beoordelen/ontdubbelen met Build Pack",""
"#179","Tell athletes about a stuck data connection even when they skip the Today screen","CONCEPT_NIET_GESTART","","nee","","","","","beoordelen/ontdubbelen met Build Pack",""
"#180","Confirm Strava sends testers back into onboarding after they connect","CONCEPT_NIET_GESTART","","nee","","","","","beoordelen/ontdubbelen met Build Pack",""
"#193","Make sure a coach can't see an athlete's unreviewed or dismissed observations","CONCEPT_NIET_GESTART","","nee","","","","","beoordelen/ontdubbelen met Build Pack",""
"#196","Make sure a coach on 'summary' can never see raw daily metrics","CONCEPT_NIET_GESTART","","nee","","","","","beoordelen/ontdubbelen met Build Pack",""
"#197","Confirm a revoked parent link cuts off access the instant it's unlinked","CONCEPT_NIET_GESTART","","nee","","","","","beoordelen/ontdubbelen met Build Pack",""
"#201","Stop test checks from randomly failing when they run together","CONCEPT_NIET_GESTART","","nee","","","","","beoordelen/ontdubbelen met Build Pack",""
"#213","Make sure a saved phone ride shows up on the athlete's timeline right away","CONCEPT_NIET_GESTART","","nee","","","","","beoordelen/ontdubbelen met Build Pack",""
"#214","Don't lose a recorded ride if the app is killed mid-ride","CONCEPT_NIET_GESTART","","nee","","","","","beoordelen/ontdubbelen met Build Pack",""
"#215","Confirm background ride recording actually survives a locked screen","CONCEPT_NIET_GESTART","","nee","","","","","beoordelen/ontdubbelen met Build Pack",""
"#226","Extend the quality sweep to Profiel (Jij) and Activiteiten","CONCEPT_NIET_GESTART","","nee","","","","","beoordelen/ontdubbelen met Build Pack",""
"#227","Guarantee the 3-week plan grid shows the right day across timezones","CONCEPT_NIET_GESTART","","nee","","","","","beoordelen/ontdubbelen met Build Pack",""
"#229","Keep the test suite fast as it grows past the boot cap","CONCEPT_NIET_GESTART","","nee","","","","","beoordelen/ontdubbelen met Build Pack",""
"#230","Prove repeated environment restarts stay green over many runs","CONCEPT_NIET_GESTART","","nee","","","","","beoordelen/ontdubbelen met Build Pack",""
"#233","Let riders rename and note a ride from the mobile app","CONCEPT_NIET_GESTART","","nee","","","","","beoordelen/ontdubbelen met Build Pack",""
"#234","Make sure editing a ride's name and notes can't silently break","CONCEPT_NIET_GESTART","","nee","","","","","beoordelen/ontdubbelen met Build Pack",""
"#238","Make sure every mergeable ride field survives a Strava merge","CONCEPT_NIET_GESTART","","nee","","","","","beoordelen/ontdubbelen met Build Pack",""
"#239","Make sure the Mentaal coaching cues and preparation card can't silently break","CONCEPT_NIET_GESTART","","nee","","","","","beoordelen/ontdubbelen met Build Pack",""
"#247","Let athletes browse the training calendar forward and back","CONCEPT_NIET_GESTART","","nee","","","","","beoordelen/ontdubbelen met Build Pack",""
"#248","Confirm the plan feedback message can't silently break","CONCEPT_NIET_GESTART","","nee","","","","","beoordelen/ontdubbelen met Build Pack",""
"#251","Laat renners onderdelen aanvullen die de kennisbank nog niet kent","CONCEPT_NIET_GESTART","","nee","","","","","beoordelen/ontdubbelen met Build Pack",""
"#252","Herken onderdelen op een fietsfoto en laat de renner bevestigen","CONCEPT_NIET_GESTART","","nee","","","","","beoordelen/ontdubbelen met Build Pack",""
"#253","Voorkom dat garage-routes stilletjes breken bij toekomstige wijzigingen","CONCEPT_NIET_GESTART","","nee","","","","","beoordelen/ontdubbelen met Build Pack",""
"#256","Sensor die al op een fiets hangt met één tik naar een andere fiets verplaatsen","CONCEPT_NIET_GESTART","","nee","","","","","beoordelen/ontdubbelen met Build Pack",""
"#265","Toon de sensor-samenvatting ook bij een opgeslagen rit in de app","CONCEPT_NIET_GESTART","","nee","","","","","beoordelen/ontdubbelen met Build Pack",""
"#268","Voorkom dat de mobiele Vandaag/dashboard-data stilletjes breekt bij backend-wijzigingen","CONCEPT_NIET_GESTART","","nee","","","","","beoordelen/ontdubbelen met Build Pack",""
"#273","Rijd een opgeslagen rit-route direct opnieuw met navigatie","CONCEPT_NIET_GESTART","","nee","","","","","beoordelen/ontdubbelen met Build Pack",""
"#274","Voorkom dubbele routes bij twee keer opslaan van dezelfde rit","CONCEPT_NIET_GESTART","","nee","","","","","beoordelen/ontdubbelen met Build Pack",""
"#275","Bewaak dat rit-naar-route opslaan niet stilletjes kapot gaat","CONCEPT_NIET_GESTART","","nee","","","","","beoordelen/ontdubbelen met Build Pack",""
"#276","Toon de kaart ook bij ritten uit FIT- en TCX-bestanden","CONCEPT_NIET_GESTART","","nee","","","","","beoordelen/ontdubbelen met Build Pack",""
"#279","Toon ook snelheid of vermogen bij het slepen over het hoogteprofiel","CONCEPT_NIET_GESTART","","nee","","","","","beoordelen/ontdubbelen met Build Pack",""
"#299","Make sure low-confidence recovery labels stay honest after a code change","CONCEPT_NIET_GESTART","","nee","","","","","beoordelen/ontdubbelen met Build Pack",""
"#300","Catch a missing signal label before it reaches the user","CONCEPT_NIET_GESTART","","nee","","","","","beoordelen/ontdubbelen met Build Pack",""
"#304","Catch a broken route enrichment flow before it ships","CONCEPT_NIET_GESTART","","nee","","","","","beoordelen/ontdubbelen met Build Pack",""
"#305","Tell athletes when a training route couldn't be generated","CONCEPT_NIET_GESTART","","nee","","","","","beoordelen/ontdubbelen met Build Pack",""
"#306","Catch a slow interval-training route before it reaches athletes","CONCEPT_NIET_GESTART","","nee","","","","","beoordelen/ontdubbelen met Build Pack",""
"#317","Toon de wizard-herkomst ook op oudere races zonder opgeslagen bronkaart","CONCEPT_NIET_GESTART","","nee","","","","","beoordelen/ontdubbelen met Build Pack",""
"#318","Automatisch bewijzen dat race-bewerken via de wizard geen velden wist","CONCEPT_NIET_GESTART","","nee","","","","","beoordelen/ontdubbelen met Build Pack",""
"#319","Confirm a calendar-imported race flows through the wizard without losing fields","CONCEPT_NIET_GESTART","","nee","","","","","beoordelen/ontdubbelen met Build Pack",""
"#324","Laat je Ontdekken-voorkeuren meereizen naar je andere apparaten","CONCEPT_NIET_GESTART","","nee","","","","","beoordelen/ontdubbelen met Build Pack",""
"#325","Voorkom dat oude interesses de Ontdekken-feed blijven sturen","CONCEPT_NIET_GESTART","","nee","","","","","beoordelen/ontdubbelen met Build Pack",""
"#326","Geef bewaarde Ontdekken-items een eigen overzichtsplek","CONCEPT_NIET_GESTART","","nee","","","","","beoordelen/ontdubbelen met Build Pack",""
"#327","Zorg dat feedvoorkeuren-sync nooit stilletjes voorkeuren kan kwijtraken","CONCEPT_NIET_GESTART","","nee","","","","","beoordelen/ontdubbelen met Build Pack",""
"#330","Voorkom dat een klimdetail ooit anders gelabeld wordt dan de zoeklijst","CONCEPT_NIET_GESTART","","nee","","","","","beoordelen/ontdubbelen met Build Pack",""
"#331","Vang het klimwegprofiel (Cauberg) automatisch af tegen stille regressies","CONCEPT_NIET_GESTART","","nee","","","","","beoordelen/ontdubbelen met Build Pack",""
"#334","Herken jouw eigen materiaal ook in de garage-nieuwslijst (Mechanieker-ontwikkelingen)","CONCEPT_NIET_GESTART","","nee","","","","","beoordelen/ontdubbelen met Build Pack",""
"#339","Voorkom dat de werkmap opnieuw volloopt richting de publiceer-limiet","CONCEPT_NIET_GESTART","","nee","","","","","beoordelen/ontdubbelen met Build Pack",""
"#344","Verwijder de tijdelijke opschoningstak van GitHub na de geschiedenis-rewrite","CONCEPT_NIET_GESTART","","nee","","","","","beoordelen/ontdubbelen met Build Pack",""
"#347","Zorg dat deep-links naar Jij-tabbladen (/you?tab=kompas) altijd goed landen","CONCEPT_NIET_GESTART","","nee","","","","","beoordelen/ontdubbelen met Build Pack",""
"#348","Onthoud welk Jij-tabblad je bekeek na het sluiten van de app","CONCEPT_NIET_GESTART","","nee","","","","","beoordelen/ontdubbelen met Build Pack",""
"#355","Voorkom dat grote export-zips opnieuw stilletjes in de projectgeschiedenis belanden","CONCEPT_NIET_GESTART","","nee","","","","","beoordelen/ontdubbelen met Build Pack",""
"#357","Vang ook type-fouten in de mobiele app na een merge (niet alleen ontbrekende pakketten)","CONCEPT_NIET_GESTART","","nee","","","","","beoordelen/ontdubbelen met Build Pack",""
"#360","Bewijs dat de echte plangenerator drukke periodes ook echt vrijhoudt","CONCEPT_NIET_GESTART","","nee","","","","","beoordelen/ontdubbelen met Build Pack",""
"#361","Zorg dat snel verkorten/verplaatsen vanaf de dagkaart niet stilletjes kapot kan","CONCEPT_NIET_GESTART","","nee","","","","","beoordelen/ontdubbelen met Build Pack",""
"#363","Voorkom dat de nieuwe routebibliotheek crasht door ontbrekende databasetabellen","CONCEPT_NIET_GESTART","","nee","","","","","beoordelen/ontdubbelen met Build Pack",""
"#367","Laat een vervangen route in de app eerlijk doorverwijzen naar zijn opvolger","CONCEPT_NIET_GESTART","","nee","","","","","beoordelen/ontdubbelen met Build Pack",""
"#368","Voorkom dat één gebied eindeloos ORS-quota opstookt aan vervangingen","CONCEPT_NIET_GESTART","","nee","","","","","beoordelen/ontdubbelen met Build Pack",""
"#369","Vul drukbevolkte gebieden op de kaart als eerste","CONCEPT_NIET_GESTART","","nee","","","","","beoordelen/ontdubbelen met Build Pack",""
"#370","Bewijs automatisch dat de nachtelijke kaart-vulling nooit het ORS-budget overschrijdt","CONCEPT_NIET_GESTART","","nee","","","","","beoordelen/ontdubbelen met Build Pack",""
"#373","Bewijs automatisch dat routes na de warm-up op volledige omgevingsdata kiezen","CONCEPT_NIET_GESTART","","nee","","","","","beoordelen/ontdubbelen met Build Pack",""
"#374","Maak de omgevings-cache warm-up herstartbestendig (overleeft een server-restart)","CONCEPT_NIET_GESTART","","nee","","","","","beoordelen/ontdubbelen met Build Pack",""
"#375","Fix falende publicatie: deploy-image onder 8 GiB","CONCEPT_NIET_GESTART","","nee","","","","","beoordelen/ontdubbelen met Build Pack",""
"#379","Sluit de echte Stripe-testsleutels aan en doorloop de betaalflow live","CONCEPT_NIET_GESTART","","nee","","","WP-A06B (Stripe live-test, wacht op akkoord)","","beoordelen/ontdubbelen met Build Pack",""
"#380","Vul de tier-rechten (GO/COMPLETE) met de echte feature-verdeling","CONCEPT_NIET_GESTART","","nee","","","","","beoordelen/ontdubbelen met Build Pack",""
"#381","Zorg dat de productiedatabase de nieuwe abonnementstabellen kent vóór livegang","CONCEPT_NIET_GESTART","","nee","","","","","beoordelen/ontdubbelen met Build Pack",""
"#386","Herstel de kapotte systeemmodus-check die de codecontrole rood laat kleuren","CONCEPT_NIET_GESTART","","nee","","","","","beoordelen/ontdubbelen met Build Pack",""
"#388","Laat chatonderwerpen met Sparki eerlijk meetellen in de mentale beoordeling","CONCEPT_NIET_GESTART","","nee","","","","","beoordelen/ontdubbelen met Build Pack",""
"#389","Maak de systeemmodus-controle weer groen zodat stille regressies opvallen","CONCEPT_NIET_GESTART","","nee","","","","","beoordelen/ontdubbelen met Build Pack",""
"#392","Laat sporters ook race-advies en materiaaladvies met sterren beoordelen","CONCEPT_NIET_GESTART","","nee","","","","","beoordelen/ontdubbelen met Build Pack",""
"#393","Bevestig dat de herberekening van 182 belastingscores correct is aangekomen","CONCEPT_NIET_GESTART","","nee","","","","","beoordelen/ontdubbelen met Build Pack",""
"#394","Voorkom dat een handmatig ingevoerde FTP-notitie het achterhaald-filter opnieuw omzeilt","CONCEPT_NIET_GESTART","","nee","","","","","beoordelen/ontdubbelen met Build Pack",""
"#399","Bevestig productie-her-telling na opschoning (verwacht: 38 actieve observaties)","CONCEPT_NIET_GESTART","","nee","","","WP-A02 (verificatie)","","beoordelen/ontdubbelen met Build Pack",""
"#400","Zorg dat de systeemmodus-test niet opnieuw ongemerkt rood kan worden","CONCEPT_NIET_GESTART","","nee","","","","","beoordelen/ontdubbelen met Build Pack",""
"#401","Laat ook de kleine Go-meldingen op Home doorklikken naar de upgrade","CONCEPT_NIET_GESTART","","nee","","","","","beoordelen/ontdubbelen met Build Pack",""
"#403","Vang merge-schade ook op de admin-gebruikers- en sync-diagnoseschermen","CONCEPT_NIET_GESTART","","nee","","","","","beoordelen/ontdubbelen met Build Pack",""
"#1","Migrate from vercel to Replit","AFGEROND_EN_GEMERGED","","ja","","","","","geen",""
"#3","Day-type homepage engine + core days","AFGEROND_EN_GEMERGED","","ja","","","","","geen",""
"#4","Race week, race-day modes & planners","AFGEROND_EN_GEMERGED","","ja","","","","","geen",""
"#10","Smart AI route generator","AFGEROND_EN_GEMERGED","","ja","","","","","geen",""
"#11","Sparki knowledge base","AFGEROND_EN_GEMERGED","","ja","","","","","geen",""
"#12","Download generated routes as GPX for your bike computer","AFGEROND_EN_GEMERGED","","ja","","","","","geen",""
"#13","Show saved routes attached to each planned training","AFGEROND_EN_GEMERGED","","ja","","","","","geen",""
"#17","Autonomous training schedule","AFGEROND_EN_GEMERGED","","ja","","","","","geen",""
"#18","Phased adaptive onboarding","AFGEROND_EN_GEMERGED","","ja","","","","","geen",""
"#19","Tester QR onboarding access","AFGEROND_EN_GEMERGED","","ja","","","","","geen",""
"#20","Let athletes set their home location on a map for better auto-routes","AFGEROND_EN_GEMERGED","","ja","","","","","geen",""
"#21","Automatically refresh the training plan as recovery and races change","AFGEROND_EN_GEMERGED","","ja","","","","","geen",""
"#22","Show the coach their athlete's Sparki advisory plan in the coach portal","AFGEROND_EN_GEMERGED","","ja","","","","","geen",""
"#23","Store the full route shape so any uploaded GPX can be re-exported","AFGEROND_EN_GEMERGED","","ja","","","","","geen",""
"#24","Export routes in the Garmin/Wahoo course format with turn prompts","AFGEROND_EN_GEMERGED","","ja","","","","","geen",""
"#32","Engine foundation, data model & test plan","AFGEROND_EN_GEMERGED","","ja","","","","","geen",""
"#33","Implement & complete the 8 core engines","AFGEROND_EN_GEMERGED","","ja","","","","","geen",""
"#34","Wire UI to engines (no placeholders)","AFGEROND_EN_GEMERGED","","ja","","","","","geen",""
"#35","Let the coach turn Sparki's advice into their own plan with one tap","AFGEROND_EN_GEMERGED","","ja","","","","","geen",""
"#38","Admin Dashboard & automated Health Check engine","AFGEROND_EN_GEMERGED","","ja","","","","","geen",""
"#42","Run the health check automatically every night","AFGEROND_EN_GEMERGED","","ja","","","","","geen",""
"#48","Export routes as Garmin/Wahoo course files for rock-solid turn-by-turn","AFGEROND_EN_GEMERGED","","ja","","","","","geen",""
"#49","Flag climbs and key points on exported routes as named course points","AFGEROND_EN_GEMERGED","","ja","","","","","geen",""
"#50","Sparki Onboarding V2","AFGEROND_EN_GEMERGED","","ja","","","","","geen",""
"#54","Show climbs and key points on the route detail screen","AFGEROND_EN_GEMERGED","","ja","","","","","geen",""
"#55","Observation & coach engine V1 (+ 25 virtual athletes)","AFGEROND_EN_GEMERGED","","ja","","","","","geen",""
"#56","Coach analysis & explainable advice in the app","AFGEROND_EN_GEMERGED","","ja","","","","","geen",""
"#59","Eén centrale plek waar sporters foto's, PDF's en vragen aan Sparki geven","AFGEROND_EN_GEMERGED","","ja","","","","","geen",""
"#60","Sparki leest wedstrijd- en technische gidsen en haalt er automatisch de kerninfo uit","AFGEROND_EN_GEMERGED","","ja","","","","","geen",""
"#61","Sparki bereidt sporters dagenlang vóór een wedstrijd stap voor stap voor","AFGEROND_EN_GEMERGED","","ja","","","","","geen",""
"#62","Sparki analyseert materiaalfoto's en geeft eerlijk advies met kosteninschatting","AFGEROND_EN_GEMERGED","","ja","","","","","geen",""
"#63","Mark each climb's summit on the route map","AFGEROND_EN_GEMERGED","","ja","","","","","geen",""
"#72","Let Sparki notice worn equipment from your training data","AFGEROND_EN_GEMERGED","","ja","","","","","geen",""
"#73","Verify Materiaalcoach photo analysis with automated tests","AFGEROND_EN_GEMERGED","","ja","","","","","geen",""
"#83","Prove Sparki coaches each athlete type differently (Adaptive Coach Engine V1)","AFGEROND_EN_GEMERGED","","ja","","","","","geen",""
"#88","Replace the Core's X/Y cross with a smart-screen grid backdrop","AFGEROND_EN_GEMERGED","","ja","","","","","geen",""
"#89","Core-voorspelpaneel boven elke training","AFGEROND_EN_GEMERGED","","ja","","","","","geen",""
"#91","Race Intelligence Engine — central intelligence layer","AFGEROND_EN_GEMERGED","","ja","","","","","geen",""
"#92","Let admins review and act on tester feedback in one place","AFGEROND_EN_GEMERGED","","ja","","","","","geen",""
"#94","Tell testers when their report is picked up or resolved","AFGEROND_EN_GEMERGED","","ja","","","","","geen",""
"#95","Automatically test the admin feedback inbox so triage can't silently break","AFGEROND_EN_GEMERGED","","ja","","","","","geen",""
"#96","Performance Intelligence Hub","AFGEROND_EN_GEMERGED","","ja","","","","","geen",""
"#99","Let testers reply or add details to a report after submitting","AFGEROND_EN_GEMERGED","","ja","","","","","geen",""
"#107","FIT-import: vermogen & hartslag uit trainingsbestanden","AFGEROND_EN_GEMERGED","","ja","","","","","geen",""
"#108","Weer in dagelijks & coach-advies","AFGEROND_EN_GEMERGED","","ja","","","","","geen",""
"#109","Echte herinneringen versturen (e-mail)","AFGEROND_EN_GEMERGED","","ja","","","","","geen",""
"#110","Neutralere taal i.p.v. 'Sparki ziet/denkt'","AFGEROND_EN_GEMERGED","","ja","","","","","geen",""
"#118","Show the same per-ride analysis when opening a ride from Trainen","AFGEROND_EN_GEMERGED","","ja","","","","","geen",""
"#119","Make sure the per-ride load analysis can't silently show wrong or fabricated context","AFGEROND_EN_GEMERGED","","ja","","","","","geen",""
"#121","Nudges voor ontbrekende profielgegevens (push naar telefoon/horloge)","AFGEROND_EN_GEMERGED","","ja","","","","","geen",""
"#122","Show athletes their realistic growth range, not just a single number","AFGEROND_EN_GEMERGED","","ja","","","","","geen",""
"#123","Tell athletes which single thing is holding their development back","AFGEROND_EN_GEMERGED","","ja","","","","","geen",""
"#124","Guarantee the development goal can be saved, cleared, and never corrupted","AFGEROND_EN_GEMERGED","","ja","","","","","geen",""
"#126","Show athletes their biggest development limiter on the Home screen too","AFGEROND_EN_GEMERGED","","ja","","","","","geen",""
"#127","Lock in the development-limiter logic so its ranking can't silently break","AFGEROND_EN_GEMERGED","","ja","","","","","geen",""
"#130","Make sure the FTP growth-range forecast can't silently produce wrong numbers","AFGEROND_EN_GEMERGED","","ja","","","","","geen",""
"#131","Make sure no Core insight is ever duplicated or lost across the profile lenses","AFGEROND_EN_GEMERGED","","ja","","","","","geen",""
"#132","Keep the Home development-limiter card and Core page in sync automatically","AFGEROND_EN_GEMERGED","","ja","","","","","geen",""
"#133","Make sure a rider's goal correctly reshuffles their top development limiter","AFGEROND_EN_GEMERGED","","ja","","","","","geen",""
"#134","Make sure a rider's goal also reshapes their honest growth range","AFGEROND_EN_GEMERGED","","ja","","","","","geen",""
"#137","Make sure the /you 'evolution' trends can't silently show wrong direction","AFGEROND_EN_GEMERGED","","ja","","","","","geen",""
"#139","Inzichten: grafiek-eerst, minder tekst","AFGEROND_EN_GEMERGED","","ja","","","","","geen",""
"#140","Catch insight-card regressions on Vandaag and Inzichten too","AFGEROND_EN_GEMERGED","","ja","","","","","geen",""
"#141","Make sure expert reads in /train show their supporting evidence","AFGEROND_EN_GEMERGED","","ja","","","","","geen",""
"#142","Keep insight cards from silently regressing to noisy duplicates","AFGEROND_EN_GEMERGED","","ja","","","","","geen",""
"#144","Adaptieve Virtual Athletes","AFGEROND_EN_GEMERGED","","ja","","","","","geen",""
