id,naam,omschrijving,doelgroep,gebruikersvraag,trigger,entry_point,frontend_bestanden,backend,databronnen,output,afhankelijkheden,testdekking,bereikbaarheid,overlap,risico,status,classificatie
F-055,Documentanalyse,Wedstrijdgids PDF/foto → gevonden/ontbreekt,renner,Wat staat er in de gids?,upload bij race,race-flow,document-analysis-panel.tsx,routes/document-analysis.ts engines/document-analysis/,document,verrijkte race,LLM-integratie,—,direct,F-052,middel (documenten),volledig werkend,B
F-060,Voeding-scherm + fuelingplan,Sheet met logs/foto's/dag-analyse leeftijdsgevoelig,renner,Eet ik goed voor mijn training?,?focus=nutrition,Voeding-sheet,voeding-screen.tsx,routes/nutrition.ts,logs+profiel,advies,leeftijd,—,direct,—,middel (jeugd RED-S — afgedekt),volledig werkend,B
F-061,Voeding-seizoensdoel 17+,Seizoensstart/piek/streefgewicht; <17 geweigerd,renner 17+,Kan ik naar streefgewicht toewerken?,Voeding-sheet,sheet,voeding-screen.tsx,GET/PUT /api/nutrition/season-goal,profiel+gewicht,sturing ≤0.5kg/wk,F-060,—,direct,—,middel (RED-S — afgedekt),volledig werkend,B
F-062,Materiaalcoach,Foto-gedreven materiaaladvies confidence-gated,renner,Is mijn materiaal ok?,nudge/materiaal,home-nudge,material-coach.tsx,routes/material.ts engines/material/,foto+km,advies+kosten,objectopslag,test:material test:material-nudge,direct,—,laag,volledig werkend,B
F-063,Gezondheidsstatus,Ziek/hersteld beïnvloedt advies,renner,Ik ben ziek — wat nu?,update-sectie,home,health-status-control.tsx,athlete metrics,status,aangepast advies,—,—,direct,—,laag,volledig werkend,B
F-064,Routeplanner,Route-panel GPX-gebaseerd (flag route_planner),renner,Waar ga ik rijden?,/train (flag),route-panel,route-panel.tsx route-map.tsx linked-route.tsx,routes/routes.ts engines/route/,GPX+ORS,routes,flag,—,flag-gated,—,middel (XSS-sink afgedekt),volledig werkend,B
F-065,Mentale veerkracht-kaart,Mentale kaart; alleen gemount op /lab dus effectief verborgen,renner,—,/lab bezoek,alleen /lab (verborgen),mental-resilience-card.tsx,routes/mental.ts engines/mental/,mentale data,kaart,—,—,verborgen (via onbereikbare /lab),—,laag,verborgen,E
F-070,Sparki Core levend profiel,Afgeleide lenzen/identiteit/evolutie,renner,Wie ben ik als renner?,nav JIJ,/you,pages/you.tsx core-profile-libs,insights/observations,observaties,profielbeeld,—,test:core-profile (3 suites),direct,F-078,laag,volledig werkend,A
F-071,Profielinstellingen,FTP/uren/gewicht/sport/doel via ?focus=,renner,Ik wil iets aanpassen,sheet op /you,drill-in sheet,profile-settings.tsx,PUT profile,profiel,opgeslagen,—,—,direct,—,laag,volledig werkend,C
F-072,Doelen-werkblad + engine,Doelen incl. afgeleide; maandelijkse review,renner,Waar werk ik naartoe?,/you?focus=doelen,werkblad,goals-worksheet.tsx,routes/goals.ts engines/goals/ jobs/goal-review.ts,doelen+races,doelen+voorstellen,cron,test:goals,direct,—,laag,volledig werkend,A
F-073,Vraag Sparki chat,Sessie-gescoped thread; volledige historie = geheugen,renner,Ik heb een vraag,SPARKI-merk header,overlay,sparki-chat-overlay.tsx sparki-input-center.tsx,routes/ai.ts,chat+context,antwoord,LLM,—,direct,—,privacy (gated),volledig werkend,A
F-074,Persoonlijke-contextgeheugen,NL-detectie; privacy-gated persist,renner,—,chat/check-in,onzichtbaar,context-memory-panel.tsx,engines/context-memory/,uitspraken,follow-ups,—,test:context-memory,indirect,F-007,privacy (afgedekt),volledig werkend,C
F-075,Geheugengraaf,Cross-domein verbanden; zwijgt bij zwak bewijs,renner,—,analyse,inzicht-oppervlakken,—,engines/memory-graph/,memories+metrics,verbanden,—,test:memory-graph,indirect,—,laag,volledig werkend,C
F-076,Observatie-dedup,Presentatie-dedup herhaalde feiten,renner,—,render,onzichtbaar,insight-grouping libs,—,observaties,ontdubbeld,—,test:insight-grouping,n.v.t.,—,laag,volledig werkend,C
F-077,Profiel-consistentievragen,Doorvragen op user-set waarden,renner,—,inconsistentie,prompt-kaart,profile-prompt-card.tsx,profile-consistency lib,profiel,vraag,—,test:profile-consistency,direct,—,laag,volledig werkend,C
F-078,Inzicht-pagina /lab,INZICHT-oppervlak; geen nav-ingang — enige link vanuit verborgen /core,renner,Wat zie je in mijn data?,directe URL,/lab (geen ingang),pages/lab.tsx insights-section.tsx,routes/insights.ts,observaties,inzichten,—,—,verborgen,F-070 F-004,laag,verborgen,D
F-079,Geheugenpaneel,Beheer opgeslagen observaties,renner,Wat weet Sparki over mij?,/you-sectie,paneel,ai-memory-panel.tsx,routes/memory.ts,ai_observations,lijst+beheer,—,—,direct,F-070,privacy (beheer = goed),volledig werkend,C
F-080,Stem-/persoonlijkheidsengine,Toon/vertrouwen/empathie deterministisch,renner,—,proza-compositie,onzichtbaar,sparki-voice.tsx,engines/voice/ routes/voice.ts,trust-state,toon,—,test:voice,n.v.t.,—,laag,volledig werkend,C
F-081,Twee-laags uitleg,Kort + Uitgebreid alleen bij echte diepte,renner,—,render,overal,tiered-explanation.tsx,—,—,uitklap,—,—,n.v.t.,—,laag,volledig werkend,C
F-082,Smart Missing Input Flow,Lege staat → actie → terug → retry,renner,—,ontbrekende data,overal,missing-input-notice.tsx lib/missing-input.ts,—,profiel-presence,actieknoppen,—,—,n.v.t.,—,laag,volledig werkend,C
F-090,Nieuws/Ontdekken-feed,Gecureerd nieuws + lazy refresh,renner+ouder,Wat speelt er in mijn sport?,nav ONTDEKKEN,/feed,pages/feed.tsx,routes/feed.ts,knowledge news,feed,kennisscan,—,direct,F-092 F-093,laag,volledig werkend,B
F-091,In-app nieuwslezer,Excerpt + bron; nooit wegnavigeren,renner,—,klik item,reader,news-reader.tsx,—,nieuwsitem,leesweergave,—,—,direct,—,auteursrecht (afgedekt),volledig werkend,B
F-092,Kennisbank,Sport-wetenschapsbibliotheek dagelijkse scan,renner,Wat zegt de wetenschap?,flag knowledge_base,/kennis,pages/knowledge.tsx,routes/knowledge.ts jobs/knowledge-scan.ts,knowledge_items,bibliotheek,flag+cron,—,flag-gated,F-090,laag,volledig werkend,B
F-093,Intel Voor jou,Persoonlijke intelligentiemodule,renner,—,flag,/kennis,intel-card.tsx intel-reader.tsx,routes/intel.ts engines/intel/,intel_items,module,flag,test:intel,flag-gated,F-090 F-092,laag,volledig werkend,B
F-094,Renners-reel,World swipe-reel in feed; dwell-gated leren,renner,—,/feed,in feed,world-reel.tsx,engines/world-affinity/,world-data,reel,F-101,test:world-affinity test:world-feed,direct,F-101,laag,volledig werkend,F
F-100,Samen kring-feed,Follow-ups+vrienden+races+nieuws samengevoegd,renner,Wat doet mijn kring?,header-knop,/samen,pages/samen.tsx,routes/social.ts,circle-feed,overzicht,privacy fail-closed,—,direct,F-090,privacy (afgedekt),volledig werkend,B
F-101,Sparki World,Transparant-fictief eiland virtuele renners,renner,—,header-knop,/wereld,pages/wereld.tsx,routes/sparki-world.ts engines/world-*,world-tabellen,verhalen/media,media-engine,test:world-* (4+),direct,F-094 F-054,laag,volledig werkend,F
F-102,World-sim/seed-scripts,Handmatige CLI-scripts wereld,ontwikkelaar,—,CLI,geen,—,scripts/run-world-day.ts e.a.,world-tabellen,gesimuleerde dag,—,test:world-sim test:world-consistency,CLI-only,F-101,laag,verborgen,C
F-110,Coach-portaal,Roster + gedeelde data per niveau,coach,Hoe gaat het met mijn renners?,rol coach,/ als coach,coach-home.tsx coach/,routes/coach.ts,links+shared data,roster,link accepted,coach-parent-suites (6),direct,—,privacy (getest),volledig werkend,B
F-111,Coach-planadoptie,Advies-plan → coach-eigen plan,coach,Neem ik dit plan over?,coach-plan-pagina,/coach/athletes/:id/plan,pages/coach-athlete-plan.tsx,POST plan/adopt,plan_days,coach-plan,F-021,link-isolation tests,direct,F-021,middel,volledig werkend,B
F-112,Ouder-portaal,Alleen welzijnssignalen,ouder,Gaat het goed met mijn kind?,rol parent,/ als ouder,parent-home.tsx,routes/parent.ts,safety-data,welzijnsbeeld,link accepted,sharing-levels-tests,direct,—,privacy (getest),volledig werkend,B
F-113,Deelniveaus & privacy,none/summary/full; fail-closed,alle,Wie ziet wat van mij?,/you privacy,privacy-sectie,privacy-settings.tsx,lib/privacy.ts routes/privacy.ts,privacy_settings,instellingen,—,6 isolatiesuites groen,direct,—,privacy (kern — getest),volledig werkend,C
F-114,Uitnodigingen & koppelingen,Token-invites; atomische accept,alle,Hoe koppel ik coach/ouder?,/invitations /invite/:token,pagina's,pages/invitations.tsx invite-accept.tsx links-section.tsx,routes/invitations.ts routes/links.ts,invitations+links,koppeling,—,test:links-* (2),direct,—,middel (tokens),volledig werkend,C
F-115,Rollen & rolwissel,athlete/coach/parent in eigen DB,alle,—,header,ScreenShell,screen-shell.tsx,PUT /api/auth/me/role,user_profiles,gewisselde rol,—,test:account,direct,—,laag,volledig werkend,C
F-120,Onboarding V2,Adaptieve Q&A vaste catalogus,nieuwe gebruiker,—,eerste sign-in,automatisch,onboarding-v2.tsx,routes/onboarding.ts engines/onboarding/,antwoorden,profiel,LLM,test:onboarding-v2 -personas -resume,automatisch,—,laag,volledig werkend,C
F-121,Connect-stap + gap-fill,Koppelen verplicht getoond; alleen echte gaten vragen,nieuwe gebruiker,—,onboarding,in flow,onboarding-gap-fill.tsx,onboarding routes,connectors+profiel,ingevuld profiel,F-042,test-onboarding-connect-step (7) -strava-gapfill,automatisch,—,laag,volledig werkend,C
F-122,Account-gate & provisioning,Eén gate voor elk ingelogd oppervlak; self-healing,alle,—,elke load,App.tsx,App.tsx contexts/UserContext.tsx,POST /api/auth/sync lib/auth.ts,user_profiles,toegang,Clerk,test:account cross-account (19),automatisch,—,hoog belang (getest),volledig werkend,C
F-123,Landing + sign-in/up,Publieke landing + Clerk-thema,bezoeker,Wat is Sparki?,/ uitgelogd,/ /sign-in /sign-up,pages/landing.tsx sign-in.tsx sign-up.tsx,Clerk+proxy,—,landing,Clerk,—,direct,—,laag,volledig werkend,C
F-124,Account-herkoppeling,Zelfde e-mail → bestaand profiel,alle,—,hernieuwde sign-up,automatisch,—,routes/auth.ts,Clerk e-mail,herkoppeld account,Clerk server-side,test:account (onzeker),automatisch,—,middel (identiteit — afgedekt),volledig werkend,C
F-130,Notificatiebel,Dag-vouw; badge telt dagen,alle,Wat is er gebeurd?,bel header,bel,notification-bell.tsx,routes/notifications.ts,notifications,gevouwen lijst,—,test:notifications -day-count -read-batch,direct,F-013,laag,volledig werkend,C
F-131,Herinneringen,Check-in/trainingsherinnering idempotent,renner,—,cron 18:00,instellingen /you,reminder-settings.tsx,engines/reminders/ jobs/reminders.ts,reminder_preferences,e-mail/push,cron-deployment,test:email-channel (deels),direct,F-130,laag,volledig werkend,C
F-132,Web push,VAPID-push met SSRF-allowlist,renner,—,permissie,browser,—,lib/push,push_subscriptions,pushbericht,VAPID-keys,—,direct,—,middel (SSRF — afgedekt),volledig werkend,C
F-133,E-mail Resend,Eerlijk-beperkt zonder geverifieerd domein,renner,—,reminder/notify,—,—,lib/email,Resend,e-mail of eerlijke skip,domein,test:email-channel,indirect,—,laag,gedeeltelijk werkend,C
F-134,Wekker / Sound Studio,In-app wekker + audio-identiteit,renner,—,/geluid,via /you (geverifieerde link),pages/geluid.tsx wekker-overlay.tsx,routes/audio.ts engines/audio/,audio_preferences,wekker/geluid,web-beperking (eerlijk),—,indirect via /you,—,laag,volledig werkend,B
F-140,Admin-gezondheidscheck,Echte probes 4 statussen nooit nep-groen,admin,Werkt alles?,/admin,/admin /admin/health/:key,pages/admin.tsx admin-health-detail.tsx admin-panel.tsx,routes/admin.ts jobs/health-check.ts,probes,statusdashboard,admin-rechten,test:health-endpoints,admin-only,—,laag,volledig werkend,C
F-141,Geplande-taken-overzicht,Status per job,admin,Draaien de jobs?,/admin,sectie,admin-panel,scheduled-tasks lib,job-traces,overzicht,—,test-scheduled-tasks (14) -route (3),admin-only,F-140,laag,volledig werkend,C
F-142,Testeroverzicht + dashboard,Roster + telemetrie-gated scoring,admin,Hoe testen de testers?,/admin,sectie,test-dashboard.tsx,routes/telemetry.ts admin,telemetry_events,scores,—,test:test-dashboard,admin-only,—,laag,volledig werkend,C
F-143,Tester-QR + welkom,QR-entry overleeft sign-in; eenmalig welkom,tester,—,QR-scan,/tester-qr /welkom-tester,pages/tester-qr.tsx tester-welcome.tsx,invitations/admin,invite-token,toegang+welkom,—,—,direct,F-114,laag,volledig werkend,C
F-144,Feedback & bugmeldingen,Globale sheet + threads,alle,Ik wil iets melden,feedback-knop,header,feedback-sheet.tsx bug-report-*.tsx feedback-inbox.tsx,routes/bug-reports.ts,bug_reports,melding+thread,—,—,direct,—,laag,volledig werkend,C
F-145,Feature-flagsysteem,10 sleutels; override>rol>default>head-tester,systeem,—,resolutie,/admin flags-UI,feature-gate.tsx FeatureFlagContext,routes/flags.ts lib/feature-flags,feature_flags,flag-resolutie,—,—,admin-only (beheer),—,laag,volledig werkend,C
F-146,Dev Preview Mode,Dev-only bypass + schermwisselaar; prod dood,ontwikkelaar,—,dev-server,dev,dev-preview.tsx lib/dev.ts,routes/dev.ts devAuthBypass,—,preview,NODE_ENV-gates,—,dev-only,—,hoog indien lek (fail-closed),volledig werkend,C
F-147,Telemetrie,Gebruiksevents testers,systeem,—,gebruik,onzichtbaar,—,routes/telemetry.ts,tester_events,events,—,via test-dashboard,n.v.t.,—,privacy (intern),volledig werkend,C
F-148,Objectopslag,Foto's/bestanden; ACL na bytes; owner-checked,systeem,—,upload,via flows,—,routes/storage.ts,object storage,bestanden,—,via material/photo,n.v.t.,—,middel (ACL — afgedekt),volledig werkend,C
F-149,Input Center,Centrale composer tekst/foto/bestand/link,renner,—,chat rij 2,in chat,sparki-input-center.tsx,routes/input-center.ts engines/input-center/,uploads,invoer,F-148,—,direct,—,laag,volledig werkend,C
F-160,Core Playground,Design-prototype levende vorm,ontwikkelaar,—,directe URL,/core (geen nav),pages/core-playground.tsx,—,—,prototype,—,—,verborgen,F-002,laag,verborgen,E
F-161,Photo Lab,Gemini-relight fotoflow geïsoleerd,renner,—,directe URL,/photo-lab (geen nav),pages/photo-lab.tsx,routes/photo-style.ts,foto's,bewerkte foto,LLM+opslag,onzeker,verborgen,F-062 foto-flows,middel (ACL — afgedekt),verborgen,E
F-162,Bio-radar,Visuele component; in gebruik in training-day-home en /lab,renner,—,render,drill-in home,bio-radar.tsx,—,metrics,radar,—,—,indirect,—,laag,volledig werkend,C
F-163,Cinematic scene,Achtergrondscène-component,alle,—,render,via ScreenShell,cinematic-scene.tsx,—,—,sfeer,—,—,indirect,—,laag,volledig werkend,C
