finding_id,bron,pakket_fase,bron_sha,huidig_codebewijs,al_hersteld,bestaande_herstelopdracht,prioriteit,geraakte_module,benodigde_test,benodigde_hertoets,productie_status
F-P1-05,SPARKI_AUDIT_RECOVERY_AND_COMPLETION_01 C.5,analyse mobiel,fcaf35ac,"/analyse mobiele compositie te verifiëren (memory: analyse-tabs-herstel bestaat)",onbekend,SANITY_5B_2026-08-01_analyse-tabs-herstel,P1,analyse,e2e mobiel 375/412 overflow-check,ja,onbekend
F-P1-06,SPARKI_AUDIT_RECOVERY_AND_COMPLETION_01 C.6,productieversie,fcaf35ac,"/api/version met commit+buildtijd+omgeving+service gebouwd (dev bewezen); web /version.json ONTBREEKT nog",deels,geen,P1,versie-endpoint,web version.json bouwen + prod-curl na publish,ja,prod toont nog oude build zonder buildtijd
F-P1-07,SPARKI_AUDIT_RECOVERY_AND_COMPLETION_01 C.7,GitHub PR #2 #3 #4,onbekend,"CI start niet op PR's; GitHub-connector mist workflow-scope (bekend, memory github-actions-ci-env)",nee,COPILOT_REVIEW_GOVERNANCE.md,P1,CI,PR-checks laten draaien via webeditor-route,ja,n.v.t.
F-P2-01,SPARKI_AUDIT_RECOVERY_AND_COMPLETION_01 D,MEDIA_UITLEG_01 F3/F4,onbekend,"media_content_status-migratie 0016 bestaat; F3-mediaspeler (CMP-41) en F4-status niet volledig aangetoond; F3 wacht op rechtenvrij testmediabestand (input-gap, K6)",nee,MEDIA_UITLEG_01,P2,media/uitleg,F3/F4-bouw + toets,ja,nee
F-P2-02,SPARKI_AUDIT_RECOVERY_AND_COMPLETION_01 E,PRODUCT_EXPERIENCE_REALITY_01,onbekend,menu-matrix per 12 rollen/tiers niet integraal getest,nee,geen,P2,productervaring,matrixtest per rol/menu-item,ja,nee
F-P2-03,SPARKI_AUDIT_RECOVERY_AND_COMPLETION_01 F,centrale fundamenten,onbekend,"active context/agenda/taken/inbox deels aanwezig; 13-lagenlijst niet als één gedeelde laag geverifieerd",deels,SPARKI_BUILD_02-04,P2,fundamenten,inventaris + gap-analyse,ja,nee
F-P2-04,SPARKI_AUDIT_RECOVERY_AND_COMPLETION_01 G,herhalende trainingen/VOG/bijlagen,onbekend,niet aangetoond,nee,SPARKI_BUILD_03-scope,P2,club/team,bouw + tests,ja,nee
F-P2-05,SPARKI_AUDIT_RECOVERY_AND_COMPLETION_01 H,SPARKI_BUILD_02,onbekend,werkobjectenlaag niet volledig,nee,SPARKI_BUILD_02,P2,werkobjecten,pilot dagschema-keten,ja,nee
F-P2-06,SPARKI_AUDIT_RECOVERY_AND_COMPLETION_01 I,SPARKI_BUILD_03 + CLUB_RECHTEN/PLOEGLEIDER/TEAM_MECHANIEKER,onbekend,race_assignments-keten niet volledig,nee,SPARKI_BUILD_03,P2,wedstrijdoperatie,volledige keten-test,ja,nee
F-P2-07,SPARKI_AUDIT_RECOVERY_AND_COMPLETION_01 J,documentenbibliotheek,onbekend,Meer→Documenten centrale plek + catalogi niet volledig,nee,DOCUMENTEN_COMMUNICATIE_01/SPARKI_BUILD_02,P2,documenten,catalogus-dekking per rol,ja,nee
F-P2-08,SPARKI_AUDIT_RECOVERY_AND_COMPLETION_01 K,SPARKI_BUILD_04 facturatie,onbekend,facturatiemodule niet volledig,nee,SPARKI_BUILD_04,P2,facturatie,volledige factuurlevenscyclus,ja,nee
F-P2-09,SPARKI_AUDIT_RECOVERY_AND_COMPLETION_01 L,statusconsistentie,onbekend,"bekende mismatches: TEAM_ONBOARDING_01, MEDIA_UITLEG_01, BUILT_UNPROVEN-claims in SPARKI_EVIDENCE_MATRIX_v1.1 (24 modules met BUILT_UNPROVEN/PARTIAL/OPEN)",nee,dit register,P2,documentatie,per pakket README↔code-vergelijking,ja,nee
F-P2-10,SPARKI_AUDIT_RECOVERY_AND_COMPLETION_01 M,testfixtures,fcaf35ac,"governor-fixtures (WP-R0) bestaan; ontbrekend: beëindigde ouderrelatie e2e (taak #547), tierwissel, mislukte betaling, providerfout, club met 2 teams",deels,taak #547,P2,testinfra,fixtures aanvullen,nee,n.v.t.
