id,session_date,duration_min,avg_power,normalized_power,tss_voor,if_voor,tss_na,if_na,delta_tss
136,2026-03-02,60,191,199,21,0.485,40,0.732,19
135,2026-03-04,76,207,215,32,0.524,68,0.79,36
134,2026-03-07,103,218,226,52,0.551,127,0.831,75
133,2026-03-09,64,196,204,26,0.498,50,0.75,24
132,2026-03-11,82,212,220,35,0.537,81,0.809,46
131,2026-03-14,114,223,231,63,0.563,149,0.849,86
130,2026-03-16,62,193,201,24,0.49,47,0.74,23
129,2026-03-18,79,209,217,34,0.529,71,0.797,37
128,2026-03-21,107,221,229,58,0.559,139,0.843,81
127,2026-03-23,63,195,203,25,0.495,48,0.746,23
126,2026-03-25,81,210,218,35,0.532,78,0.801,43
125,2026-03-28,111,222,230,61,0.561,147,0.846,86
124,2026-03-30,62,193,201,24,0.49,47,0.74,23
123,2026-04-01,78,208,216,33,0.527,70,0.794,37
122,2026-04-04,106,220,228,58,0.556,139,0.838,81
121,2026-04-06,63,195,203,25,0.495,48,0.746,23
120,2026-04-08,82,212,220,36,0.537,82,0.809,46
119,2026-04-11,115,224,232,64,0.566,151,0.853,87
118,2026-04-13,63,194,202,25,0.493,48,0.743,23
117,2026-04-15,80,210,218,35,0.532,78,0.801,43
116,2026-04-18,109,222,230,61,0.561,147,0.846,86
115,2026-04-20,64,196,204,26,0.498,50,0.75,24
114,2026-04-22,83,213,221,37,0.539,86,0.813,49
113,2026-04-25,116,225,233,65,0.568,153,0.857,88
112,2026-04-27,64,195,203,25,0.495,48,0.746,23
111,2026-04-29,81,211,219,36,0.534,80,0.804,44
110,2026-05-02,110,222,230,61,0.561,147,0.846,86
109,2026-05-04,65,197,205,27,0.5,56,0.754,29
108,2026-05-06,84,214,222,38,0.541,87,0.816,49
107,2026-05-09,118,226,234,67,0.571,157,0.860,90
106,2026-05-11,65,196,204,27,0.498,51,0.75,24
105,2026-05-13,83,213,221,37,0.539,86,0.813,49
104,2026-05-16,112,223,231,63,0.563,149,0.849,86
103,2026-05-18,66,198,206,28,0.502,57,0.757,29
102,2026-05-20,85,215,223,39,0.544,89,0.820,50
101,2026-05-22,75,212,219,35,0.534,78,0.804,43
33,2026-05-20,74,156,161,19,0.393,43,0.593,24
32,2026-05-23,16,151,187,6,0.456,14,0.688,8
31,2026-05-23,151,209,241,87,0.588,193,0.886,106
30,2026-05-23,7,129,137,1,0.334,4,0.504,3
29,2026-05-24,222,194,196,85,0.478,183,0.721,98
28,2026-05-25,56,410,,93,1,212,1.507,119
26,2026-05-26,149,229,253,95,0.617,204,0.930,109
25,2026-05-27,93,196,197,36,0.48,79,0.724,43
24,2026-05-29,69,205,203,28,0.495,59,0.746,31
23,2026-05-30,228,189,187,79,0.456,169,0.688,90
22,2026-05-31,94,204,211,43,0.515,93,0.776,50
21,2026-06-01,69,198,205,29,0.5,57,0.754,28
20,2026-06-02,51,191,197,22,0.48,46,0.724,24
19,2026-06-03,77,206,213,33,0.52,68,0.783,35
18,2026-06-04,103,218,226,53,0.551,126,0.831,73
17,2026-06-05,62,194,202,25,0.493,48,0.743,23
16,2026-06-06,82,211,219,37,0.534,83,0.804,46
15,2026-06-07,112,224,232,64,0.566,151,0.853,87
14,2026-06-08,64,196,204,27,0.498,52,0.75,25
13,2026-06-09,84,215,223,39,0.544,90,0.820,51
12,2026-06-10,116,226,234,67,0.571,157,0.860,90
11,2026-06-11,66,198,206,29,0.502,59,0.757,30
10,2026-06-12,86,216,224,40,0.546,91,0.824,51
9,2026-06-13,118,228,236,68,0.576,165,0.868,97
8,2026-06-14,67,199,207,30,0.505,61,0.761,31
7,2026-06-15,87,217,225,41,0.549,93,0.826,52
6,2026-06-16,120,229,237,70,0.578,168,0.871,98
2,2026-06-17,91,198,209,43,0.51,88,0.768,45
2026-06-18,81,203,214,37,0.522,79,0.787,42
5,2026-06-19,88,192,202,36,0.493,81,0.743,45
4,2026-06-20,121,172,206,51,0.502,116,0.757,65
3,2026-06-23,154,222,241,89,0.588,201,0.886,112
1,2026-06-24,161,184,185,55,0.451,124,0.68,69
